4,5,4,4,5,5,5,4,4,4,4,4,5,5,5,4
5,4,4,11,4,4,4,4,4,4,10,11,10,11,10,10
5,5,11,0,2,1,4,5,5,4,4,4,4,4,4,11
5,5,11,9,9,9,5,5,4,4,4,4,4,5,5,10
5,5,11,9,9,9,5,4,11,4,4,4,4,5,4,11
4,4,11,9,9,9,2,1,10,4,4,4,4,4,4,4
4,5,5,6,9,9,9,7,11,4,4,4,4,5,4,4
4,4,4,4,4,11,10,11,10,5,4,4,4,4,4,4
4,10,5,4,4,10,4,4,4,5,4,4,4,4,4,4
4,11,4,4,4,11,4,4,4,5,4,4,4,5,4,11
4,10,5,4,4,10,4,4,4,5,4,4,4,5,4,10
4,10,5,5,4,4,4,4,4,4,4,4,4,5,4,10
5,11,5,5,5,4,4,4,0,2,2,2,2,2,1,11
5,10,4,4,4,4,4,4,6,9,9,9,9,9,7,11
4,11,5,5,5,5,5,5,5,4,5,5,4,11,10,10
4,10,4,4,5,4,4,4,4,4,4,4,4,4,4,4
